99 50
-1.0581010e+01 5.9583562e+00 0.0000000e+00
-1.1383977e+01 6.4105190e+00 0.0000000e+00
-1.2259365e+01 6.9034625e+00 0.0000000e+00
-1.3223265e+01 7.4462492e+00 0.0000000e+00
-1.4187165e+01 7.9890358e+00 0.0000000e+00
-4.1904405e-01 2.7276745e-01 0.0000000e+00
-4.4649797e-01 2.9063782e-01 0.0000000e+00
-4.7395189e-01 3.0850818e-01 0.0000000e+00
-5.0448940e-01 3.2838573e-01 0.0000000e+00
-5.3754986e-01 3.4990551e-01 0.0000000e+00
-5.7144092e-01 3.7196595e-01 0.0000000e+00
-6.1280745e-01 3.9889235e-01 0.0000000e+00
-6.5417399e-01 4.2581875e-01 0.0000000e+00
-7.0060924e-01 4.5604448e-01 0.0000000e+00
-7.4977379e-01 4.8804678e-01 0.0000000e+00
-8.0097783e-01 5.2137663e-01 0.0000000e+00
-8.6033987e-01 5.6001670e-01 0.0000000e+00
-9.1970191e-01 5.9865677e-01 0.0000000e+00
-9.8756234e-01 6.4282863e-01 0.0000000e+00
-1.0582556e+00 6.8884442e-01 0.0000000e+00
-1.1333402e+00 7.3771867e-01 0.0000000e+00
-1.2186714e+00 7.9326266e-01 0.0000000e+00
-1.3040027e+00 8.4880666e-01 0.0000000e+00
-1.4037666e+00 9.1374522e-01 0.0000000e+00
-1.5060775e+00 9.8034164e-01 0.0000000e+00
-1.6167359e+00 1.0523717e+00 0.0000000e+00
-1.7399157e+00 1.1325522e+00 0.0000000e+00
-1.8630955e+00 1.2127326e+00 0.0000000e+00
-2.0099695e+00 1.3083362e+00 0.0000000e+00
-2.1580905e+00 1.4047514e+00 0.0000000e+00
-2.3211477e+00 1.5108889e+00 0.0000000e+00
-2.4991409e+00 1.6267487e+00 0.0000000e+00
-2.6789358e+00 1.7437812e+00 0.0000000e+00
-2.8929629e+00 1.8830962e+00 0.0000000e+00
-3.1069901e+00 2.0224112e+00 0.0000000e+00
-3.3468899e+00 2.1785673e+00 0.0000000e+00
-3.6040383e+00 2.3459509e+00 0.0000000e+00
-3.8689390e+00 2.5183807e+00 0.0000000e+00
-4.1777697e+00 2.7194055e+00 0.0000000e+00
-4.4866004e+00 2.9204302e+00 0.0000000e+00
-4.8388958e+00 3.1497471e+00 0.0000000e+00
-5.2098188e+00 3.3911891e+00 0.0000000e+00
-5.5993533e+00 3.6447458e+00 0.0000000e+00
-6.0447220e+00 3.9346461e+00 0.0000000e+00
-6.4900906e+00 4.2245465e+00 0.0000000e+00
-7.0068978e+00 4.5609478e+00 0.0000000e+00
-7.5415646e+00 4.9089742e+00 0.0000000e+00
-8.1137752e+00 5.2814388e+00 0.0000000e+00
-8.7557098e+00 5.6992883e+00 0.0000000e+00
-9.3976445e+00 6.1171378e+00 0.0000000e+00
-1.0155373e+01 6.6103603e+00 0.0000000e+00
-1.0925968e+01 7.1119575e+00 0.0000000e+00
-1.1766063e+01 7.6587940e+00 0.0000000e+00
